央视,#genre#
CCTV1,http://121.24.98.47:8090/hls/9/index.m3u8
CCTV2,http://121.24.98.47:8090/hls/10/index.m3u8
CCTV3,http://121.24.98.47:8090/hls/11/index.m3u8
CCTV4,http://121.24.98.47:8090/hls/12/index.m3u8
CCTV6,http://121.24.98.47:8090/hls/14/index.m3u8
CCTV17,http://121.24.98.47:8090/hls/15/index.m3u8
CCTV8,http://121.24.98.47:8090/hls/16/index.m3u8
CCTV9,http://121.24.98.47:8090/hls/17/index.m3u8
CCTV10,http://121.24.98.47:8090/hls/18/index.m3u8
CCTV11,http://121.24.98.47:8090/hls/19/index.m3u8
CCTV12,http://121.24.98.47:8090/hls/20/index.m3u8
CCTV13,http://121.24.98.47:8090/hls/21/index.m3u8
CCTV14,http://121.24.98.47:8090/hls/22/index.m3u8
CCTV15,http://121.24.98.47:8090/hls/23/index.m3u8
CCTV中学生,http://121.24.98.47:8090/hls/24/index.m3u8
CETV1,http://121.24.98.47:8090/hls/67/index.m3u8
CCTV5+,http://121.24.98.47:8090/hls/5/index.m3u8
CCTV1,http://121.24.98.114:8090/hls/9/index.m3u8
CCTV2,http://121.24.98.114:8090/hls/10/index.m3u8
CCTV3,http://121.24.98.114:8090/hls/11/index.m3u8
CCTV4,http://121.24.98.114:8090/hls/12/index.m3u8
CCTV6,http://121.24.98.114:8090/hls/14/index.m3u8
CCTV17,http://121.24.98.114:8090/hls/15/index.m3u8
CCTV8,http://121.24.98.114:8090/hls/16/index.m3u8
CCTV9,http://121.24.98.114:8090/hls/17/index.m3u8
CCTV10,http://121.24.98.114:8090/hls/18/index.m3u8
CCTV11,http://121.24.98.114:8090/hls/19/index.m3u8
CCTV12,http://121.24.98.114:8090/hls/20/index.m3u8
CCTV13,http://121.24.98.114:8090/hls/21/index.m3u8
CCTV14,http://121.24.98.114:8090/hls/22/index.m3u8
CCTV15,http://121.24.98.114:8090/hls/23/index.m3u8
CCTV中学生,http://121.24.98.114:8090/hls/24/index.m3u8
CETV1,http://121.24.98.114:8090/hls/67/index.m3u8

卫视,#genre#
河北卫视,http://121.24.98.47:8090/hls/25/index.m3u8
北京卫视,http://121.24.98.47:8090/hls/32/index.m3u8
天津卫视,http://121.24.98.47:8090/hls/33/index.m3u8
河南卫视,http://121.24.98.47:8090/hls/34/index.m3u8
东南卫视,http://121.24.98.47:8090/hls/36/index.m3u8
吉林卫视,http://121.24.98.47:8090/hls/37/index.m3u8
江苏卫视,http://121.24.98.47:8090/hls/38/index.m3u8
山东卫视,http://121.24.98.47:8090/hls/39/index.m3u8
贵州卫视,http://121.24.98.47:8090/hls/40/index.m3u8
黑龙江卫视,http://121.24.98.47:8090/hls/42/index.m3u8
江西卫视,http://121.24.98.47:8090/hls/55/index.m3u8
湖南卫视,http://121.24.98.47:8090/hls/56/index.m3u8
湖北卫视,http://121.24.98.47:8090/hls/57/index.m3u8
四川卫视,http://121.24.98.47:8090/hls/58/index.m3u8
辽宁卫视,http://121.24.98.47:8090/hls/59/index.m3u8
重庆卫视,http://121.24.98.47:8090/hls/78/index.m3u8
浙江卫视,http://121.24.98.47:8090/hls/79/index.m3u8
安徽卫视,http://121.24.98.47:8090/hls/81/index.m3u8
广东卫视,http://121.24.98.47:8090/hls/82/index.m3u8
深圳卫视,http://121.24.98.47:8090/hls/84/index.m3u8
广西卫视,http://121.24.98.47:8090/hls/85/index.m3u8
